,ID,Lon,Lat,Label,Attribute,Description
101,HMN010a_S4B6_C11,13.5939226683,35.8876034415,4,,Very Soft CLAY  at 2.0 
102,HMN010a_S4B6_C12,13.561773663299999,35.9139474402,4,,Very Soft CLAY  at 2.0 
103,HMN010a_S5B0_C01,13.531941529300001,35.9365654559,4,,Very Soft CLAY  at 2.0 
104,HMN010a_S5B0_C02,13.5051614775,35.9643190539,4,,Very Soft CLAY  at 2.0 
105,HMN010a_S5B0_C03,13.4756134213,35.994769710300005,4,,Very Soft CLAY  at 1.84 
106,HMN010a_S5B0_C04,13.4481440634,36.0232283363,4,,Very Soft CLAY  at 2.0 
107,HMN010a_S5B0_C05,13.4206542226,36.0514378297,4,,Very Soft CLAY  at 2.0 
108,HMN010a_S5B0_C06,13.393209081300002,36.079720759699995,4,,Very Soft CLAY  at 1.95 
109,HMN010a_S5B0_C07A,13.367003035,36.1085954208,4,,Very Soft CLAY  at 2.0 
110,HMN010a_S5B0_C17,13.0810836275,36.361556399,4,,Very Soft CLAY  at 2.0 
111,HMN010a_S5B0_C15,13.158445866500001,36.325730803,4,,Very Soft CLAY  at 2.0 
112,HMN010a_S5B0_C14,13.197173293399999,36.3078269635,4,,Very Soft CLAY  at 2.0 
113,HMN010a_S5B0_C12,13.2693300175,36.266071132600004,4,,Very Soft CLAY  at 2.0 
114,HMN010a_S5B0_C11,13.2993602841,36.2394061477,4,,Very Soft CLAY  at 2.0 
115,HMN010a_S5B0_C10,13.319793208800002,36.207820699,4,,Very Soft CLAY  at 2.0 
116,HMN010a_S5B0_C08,13.3435630546,36.1391488106,4,,Very Soft CLAY  at 2.0 
117,HMN010c_PES_MALTA_C11,13.862098081900001,35.6765627302,4,, 
118,HMN010a_S4B3_K05A,14.9895508385,35.34054671,5,,Very Soft Sandy SILT 
119,HMN010a_S5B0_K03A,13.401960161300002,36.0710957414,5,,Very Soft CLAY 
120,HMN010a_S5B0_K01A,13.5268536272,35.942100255599996,5,,Very Soft CLAY 
121,HMN010a_S4B6_K05A,13.6065313694,35.8718245714,5,,Very Soft CLAY 
122,HMN010a_S4B6_K04A,13.6759834451,35.8075653218,5,,Very Soft CLAY 
123,HMN010a_S4B6_K03A,13.7764046566,35.775632861300004,5,,Very Soft CLAY 
124,HMN010a_S4B6_K02A,13.8403789927,35.7002286936,5,,Very Soft CLAY 
125,HMN010a_S4B6_K01A,13.8995937359,35.6254501031,5,,Very Soft CLAY 
126,HMN010a_S4B5_K05A,13.9568002357,35.560369038000005,5,,Very Soft CLAY 
127,HMN010a_S4B5_K04A,14.020050357799999,35.4756523402,5,,Very Soft CLAY 
128,HMN010a_S4B5_K03A,14.108838262599999,35.4223873062,5,,Very Soft CLAY with organic matter 
129,HMN010a_S4B5_K02A,14.2032492182,35.3760690293,5,,Very Soft CLAY 
130,HMN010a_S4B5_K01A,14.301921715599999,35.3404609022,5,,Very Soft CLAY 
131,HMN010a_S4B4_K05A,14.4118727607,35.335852766900004,5,,Very Soft CLAY 
132,HMN010a_S4B4_K04A,14.521638223900002,35.3311589139,5,,Very Soft CLAY 
133,HMN010a_S4B4_K03A,14.584689766199999,35.328391587199995,5,,Very Soft CLAY with shell fragments 
134,HMN010a_S4B4_K02A,14.6315565863,35.3256131401,5,,Very Loose Clayey SAND with shell fragments 
135,HMN010a_S4B4_K01A,14.7386765467,35.3227606372,5,,Very Loose Clayey SAND with shells 
136,HMN010a_S4B3_K06A,14.850647596300002,35.3328303841,5,,Very Soft CLAY 
137,HMN010a_S4B3_K04A,15.063741244700001,35.341576943,5,,Very Soft Slightly Sandy CLAY 
138,HMN010a_S4B3_K03C,15.1811794973,35.3387121242,5,,Very Soft CLAY 
