Lon;Lat;Label;Annotation
15.9743232418;35.3078667599;6;sr
15.9614446407;35.3079454370;6;r
15.9560446050;35.3083486925;6;r
15.9443454694;35.3083811448;6;r
15.9676057114;35.3085064097;6;sr
15.9769888288;35.3085804338;6;r
15.9644787799;35.3086454655;6;sr
15.9726066008;35.3087797437;6;r
15.9334469508;35.3088587165;6;sr
15.9364169590;35.3088690626;6;r
15.9455136282;35.3089884826;6;sr
15.9501187022;35.3090207789;6;r
15.9483069455;35.3091507052;6;sr
15.9413688895;35.3094937052;6;sr
15.9833162018;35.3095723269;6;r
15.9764832595;35.3096697915;6;sr
15.9309676167;35.3097010705;6;buried rock
15.9309818627;35.3097449649;6;1.41
15.9793524058;35.3097716341;6;r
15.9324102310;35.3097778302;6;1.82
15.9210004332;35.3098201276;6;Thickness > 3m
15.9738426140;35.3098505594;6;sr
15.9303530159;35.3099078013;6;1.33
15.9162135794;35.3099569828;6;fs
15.9290498830;35.3099754758;6;2.32
15.9478715515;35.3099850064;6;sr
15.9355673860;35.3100360064;6;sr
15.9658551433;35.3101053606;6;r
15.9387022919;35.3101470911;6;r
15.9438116295;35.3101472355;6;sr
15.9577805345;35.3102166046;6;r
15.9825618351;35.3102491565;6;sr
15.9562571577;35.3103789682;6;sr
15.9378291819;35.3104763252;6;sr
15.9520332556;35.3105551016;6;sr
15.9728949813;35.3106059320;6;r
15.9097645738;35.3108486607;6;fs
15.9513683456;35.3108701358;6;r
15.9884481561;35.3109536508;6;sr
15.9907212603;35.3109582828;6;sr
15.9807750183;35.3109953844;6;sr
15.9279569601;35.3111561385;6;buried rock
15.9272969973;35.3112200560;6;1.51
15.9758522792;35.3113892319;6;r
15.9610884110;35.3113892404;6;r
15.9645206853;35.3114680317;6;r
15.9688463686;35.3114726641;6;r
15.9843792472;35.3115607180;6;r
15.9671307402;35.3116072086;6;sr
15.9004689318;35.3116358665;6;Soft CLAY
15.8805948739;35.3117247923;6;Thickness > 2m
15.9715096327;35.3117461208;6;r
15.9351736419;35.3118090479;6;Soft CLAY
15.9935654693;35.3118203703;6;sr
15.9590900588;35.3118204231;6;sr
15.9302130924;35.3118449830;6;Thickness > 1m
15.9425880637;35.3119285455;6;Soft CLAY
15.9548284931;35.3119358233;6;Soft CLAY
15.8568531076;35.3120709574;6;fs
15.9794768066;35.3121447146;6;r
15.8736633050;35.3122181784;6;Soft CLAY
15.8538905706;35.3123522757;6;Thickness > 3m
15.8896745409;35.3124900407;6;Thickness > 3m
15.9949757585;35.3124969538;6;r
15.9645240230;35.3125480881;6;sr
15.9897001213;35.3126220973;6;r
15.9519590678;35.3126739394;6;Thickness > 1m
15.9717448045;35.3127659158;6;sr
15.9819478185;35.3128306687;6;r
15.9467087818;35.3128393904;6;Soft CLAY
15.9616289259;35.3129188773;6;sr
15.9280791593;35.3129838360;6;fs
15.9382382516;35.3129946342;6;Soft CLAY
16.0009186259;35.3130160501;6;r
15.8291205324;35.3132922505;6;Thickness > 3m
15.8337228665;35.3133131836;6;Silty CLAY
15.8671696486;35.3133337214;6;Thickness > 2m
15.9160471271;35.3133519493;6;Thickness > 3m
15.9082001482;35.3134580452;6;Thickness > 3m
16.0045770802;35.3136602832;6;r
15.9798872688;35.3137438464;6;sr
15.8120505820;35.3139512359;6;pm 47 m
15.8467864535;35.3140270824;6;Thickness > 3m
15.9929401442;35.3140588789;6;r
15.9985324329;35.3140727799;6;r
15.9696017561;35.3141239088;6;sr
15.9749452471;35.3141378064;6;sr
15.8074242348;35.3143722893;6;Thickness > 3m
15.8948071339;35.3143825312;6;Soft CLAY
15.9897736313;35.3144389288;6;r
15.9857985262;35.3144389311;6;r
15.8855842333;35.3144501829;6;Soft CLAY
16.0033469269;35.3145425252;6;Thickness > 1m
15.9822248899;35.3145640706;6;r
16.0014925690;35.3146271285;6;fs
15.8232831925;35.3148262851;6;Silty CLAY
15.7986876023;35.3148427669;6;Soft CLAY
15.8766041268;35.3148606707;6;Thickness > 2m
15.8575249159;35.3150419137;6;fs
15.7953575433;35.3150953813;6;Thickness > 3m
15.8149616898;35.3153594335;6;Thickness > 3m
16.0104320271;35.3153674602;6;Thickness > 3m
15.8681843151;35.3153871900;6;Soft CLAY
15.8490303484;35.3154473149;6;Silty CLAY
15.7779077672;35.3155450562;6;Thickness > 3m
15.9981083476;35.3156254040;6;r
15.9811029878;35.3159499612;6;sr
16.0069016251;35.3160307582;6;Soft CLAY
15.7830553440;35.3160555078;6;Soft CLAY
15.9947835093;35.3163901200;6;r
15.7579267502;35.3164131407;6;Thickness > 3m
15.9861863736;35.3166034356;6;sr
15.8313088560;35.3167682583;6;Thickness > 3m
16.0135286765;35.3169078688;6;Soft CLAY
15.7436617132;35.3169376882;6;Soft CLAY
16.0033839861;35.3169879774;6;r
15.9889254603;35.3170667735;6;r
15.8111389658;35.3171153005;6;Soft CLAY
15.9862904692;35.3174560779;6;r
15.9994880443;35.3175163194;6;r
15.7853830323;35.3175471593;6;Thickness > 3m
15.8002145932;35.3175533470;6;Thickness > 3m
15.7782729421;35.3175634952;6;pm 25 m
15.9921881004;35.3177063397;6;r
15.7636324503;35.3177265478;6;Soft CLAY
15.8071528507;35.3177277680;6;Thickness > 3m
15.7227933968;35.3177329394;6;Thickness > 3m
15.7125657300;35.3179168677;6;Silty CLAY
16.0205953152;35.3181363391;6;Soft CLAY
16.0073382166;35.3181371121;6;Thickness > 3m
15.7780745588;35.3182301149;6;pm 30 m
15.9892454550;35.3184572490;6;sr
15.7933558832;35.3184832822;6;Thickness > 3m
15.7276629372;35.3184915851;6;Soft CLAY
15.7720497359;35.3185529353;6;Thickness > 3m
15.7189262410;35.3186377975;6;pm 45 m
15.7895932610;35.3187619120;6;Soft CLAY
15.7200935122;35.3189774194;6;pm 50 m
15.7017236145;35.3190368548;6;Thickness > 3m
16.0226634404;35.3190398842;6;Thickness > 3m
15.7486280533;35.3191207920;6;Thickness > 3m
15.7411139841;35.3192158618;6;Thickness > 3m
15.6951293883;35.3193338635;6;Silty CLAY
15.9976503373;35.3194257298;6;r
16.0035592773;35.3194581674;6;r
15.6802037352;35.3195406603;6;Thickness > 3m
16.0286056181;35.3196994887;6;Soft CLAY
15.6664171253;35.3197913405;6;pm 128 m
16.0150954293;35.3198241251;6;Thickness > 3m
15.7165800960;35.3199257909;6;pm 133 m
15.7601484941;35.3199566956;6;Thickness > 3m
16.0010939211;35.3200513738;6;r
15.6765211131;35.3200593903;6;Soft CLAY
15.7738454309;35.3200781960;6;pm 38 m
16.0123503963;35.3201161073;6;Soft CLAY
15.7309956664;35.3203323987;6;Thickness > 3m
16.0307672351;35.3203502463;6;Thickness > 2m
16.0098136293;35.3203963174;6;r
15.6504271564;35.3205048057;6;Thickness > 3m
15.7377934228;35.3206801578;6;Soft CLAY
14.7483105085;35.3208223899;6;r
14.7432363846;35.3208613785;6;r
15.6715467104;35.3208615179;6;Thickness > 3m
15.6582160744;35.3208627791;6;Soft CLAY
16.0070424432;35.3208762889;6;r
15.6437642054;35.3208764974;6;r
14.7404957417;35.3209129316;6;r
14.7531449213;35.3211575774;6;r
15.6525168960;35.3211755862;6;r
16.0221886037;35.3211784265;6;Soft CLAY
14.7513450101;35.3212102341;6;r
16.0386995302;35.3212190753;6;Slumping area with boulders
14.7498709271;35.3212191613;6;fs
14.7574430740;35.3213305433;6;r
15.7106272553;35.3213677273;6;pm 50 m
15.6350016611;35.3213750597;6;Silty CLAY
14.7469449536;35.3213913740;6;r
14.7551216083;35.3214208537;6;r
15.6112282817;35.3215253222;6;r
15.7149620366;35.3215582733;6;Thickness > 3m
15.6255247586;35.3215894017;6;Thickness > 1m
15.6106718402;35.3215998416;6;sr
15.7228416459;35.3216286970;6;pm
14.7124138151;35.3216297582;6;r
14.7620071326;35.3216333090;6;r
14.7354089608;35.3216644541;6;Soft CLAY
14.7446487979;35.3217016161;6;r
14.7113230091;35.3217534130;6;r
15.7016901825;35.3217640069;6;Silty CLAY
15.6081555934;35.3217666796;6;sr
16.0337041845;35.3217704942;6;Slumping area with boulders
15.7242230974;35.3219133348;6;pm 72 m
15.6146624703;35.3219416783;6;Thickness > 1m
14.7418318631;35.3219666135;6;r
14.7599018813;35.3219755682;6;r
16.0302305435;35.3219794660;6;fs
15.6870570099;35.3219875611;6;Thickness > 3m
14.7531127801;35.3220000615;6;r
15.6448494081;35.3220772353;6;fs
16.0337780472;35.3221686457;6;Thickness > 1m
14.7178311192;35.3222027104;6;r
16.0164572463;35.3222381253;6;Soft CLAY
14.7559163647;35.3222783361;6;r
14.7515217880;35.3223291555;6;r
14.7049053591;35.3223442456;6;r
15.6100159210;35.3223830366;6;sr
16.0266326815;35.3224547381;6;Thickness > 3m
15.6030933722;35.3224607911;6;Thickness > 2m
15.6108607408;35.3224938877;6;r
15.6952447285;35.3225621593;6;Thickness > 3m
14.7495936943;35.3226529643;6;r
14.7486379329;35.3226774671;6;fs
15.6090230323;35.3226885273;6;r
15.6499194662;35.3226903835;6;r
15.6829777651;35.3226992672;6;Soft CLAY
14.7503006147;35.3229246421;6;r
16.0190099718;35.3229308397;6;Thickness > 3m
15.6212815798;35.3229738108;6;Silty CLAY
14.6480105783;35.3229877128;6;r
14.7534020524;35.3230268267;6;r
15.6516146249;35.3230304950;6;Thickness > 3m
14.7435046662;35.3231106112;6;r
15.6668787229;35.3231445396;6;Soft CLAY
15.5855983617;35.3231653072;6;Thickness > 3m
14.6490036753;35.3231676106;6;r
14.6470610074;35.3231969608;6;r
15.6767390263;35.3232846642;6;Thickness > 2m
14.7457771501;35.3233303592;6;r
14.6743294984;35.3233703001;6;r
16.0368567960;35.3233991108;6;Thickness > 1m
14.7253130871;35.3234092833;6;Thickness > 1m
15.6751383243;35.3234550574;6;pm
16.0300335861;35.3234592357;6;Thickness > 1m
15.5982626870;35.3234822239;6;POSSIBLE FRANCE - ISRAEL
14.6995678236;35.3234837449;6;Thickness > 3m
15.6800463181;35.3235048061;6;pm
16.0241084272;35.3235546521;6;Soft CLAY
14.6516811375;35.3235653998;6;fs
14.6358856584;35.3235857747;6;r
14.6727249008;35.3235923166;6;r
15.6608258078;35.3236282503;6;Thickness > 3m
14.7474836131;35.3236318394;6;r
14.7619464461;35.3236437706;6;Thickness > 2m
14.7355828771;35.3236880725;6;Thickness > 2m
14.7187640635;35.3237712630;6;Soft CLAY
15.5828202110;35.3237890583;6;pm 162 m
14.7082159824;35.3237968132;6;fs
15.5669273064;35.3238796253;6;Soft CLAY
14.6477432063;35.3239419507;6;r
15.6382158269;35.3240286671;6;Silty CLAY
14.7491407009;35.3240363121;6;r
14.7520126146;35.3240447092;6;fs
15.5597346960;35.3240969454;6;Thickness > 3m
15.6240020698;35.3241080526;6;r
14.6933984427;35.3241122240;6;Soft CLAY
15.5634648233;35.3241205220;6;r
14.7790764358;35.3241248073;6;r
15.6274755837;35.3241335888;6;Thickness > 2m
14.6463681497;35.3241453121;6;r
15.6557338558;35.3242310050;6;Soft CLAY
14.6391384007;35.3242478732;6;Clayey SAND
15.5776240233;35.3242702042;6;Soft CLAY
14.6327395186;35.3243040399;6;Thickness > 3m
15.6220113928;35.3243104892;6;r
14.6220441399;35.3243151214;6;r
14.7707546611;35.3243427049;6;fs
15.5955389806;35.3243469629;6;Thickness > 3m
14.6726273252;35.3243471641;6;r
15.6233628627;35.3243707072;6;r
14.7455948639;35.3243964431;6;fs
15.5920617532;35.3244251203;6;Soft CLAY
15.6240830321;35.3244355242;6;sr
15.6155648189;35.3244453509;6;fs
14.6533998027;35.3244911834;6;r
14.6245157122;35.3245039467;6;fs
14.6631128018;35.3245047674;6;fs
15.5492682243;35.3245604276;6;Thickness > 3m
15.5620869143;35.3245845845;6;r
14.6713805087;35.3245869388;6;r
14.7536976610;35.3246504249;6;Thickness > 2m
14.7483673587;35.3247370350;6;r
16.0348921050;35.3247415593;6;Slumping area with boulders
14.6540586845;35.3248118646;6;r
